"year","name","rating"
2016,"The Girl on the Train",4.1
2016,"The 5 Love Languages: The Secret to Love that Lasts",4.8
2016,"First 100 Words",4.7
2016,"Hillbilly Elegy: A Memoir of a Family and Culture in Crisis",4.4
2016,"The Magnolia Story",4.9
2016,"Harry Potter Paperback Box Set (Books 1-7)",4.8
2016,"Publication Manual of the American Psychological Association, 6th Edition",4.5
2016,"The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing",4.5
2016,"Between the World and Me",4.7
2016,"Fahrenheit 451",4.6
2016,"Fantastic Beasts and Where to Find Them: The Original Screenplay (Harry Potter)",4.7
2016,"You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life",4.7
2016,"Harry Potter and the Chamber of Secrets: The Illustrated Edition (Harry Potter, Book 2)",4.9
2016,"Alexander Hamilton",4.8
2016,"Night (Night)",4.7
2016,"Pokémon Deluxe Essential Handbook: The Need-to-Know Stats and Facts on Over 700 Pokémon",4.7
2016,"Laugh-Out-Loud Jokes for Kids",4.6
2016,"Born to Run",4.7
2016,"Mindset: The New Psychology of Success",4.6
2016,"The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change",4.7
2016,"Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1)",4.9
2016,"The Wonderful Things You Will Be",4.9
2016,"Milk and Honey",4.7
2016,"How to Win Friends & Influence People",4.7
2016,"Hamilton: The Revolution",4.9
2016,"Killing the Rising Sun: How America Vanquished World War II Japan (Bill O'Reilly's Killing Series)",4.8
2016,"10-Day Green Smoothie Cleanse",4.7
2016,"The Whole30: The 30-Day Guide to Total Health and Food Freedom",4.6
2016,"The Going-To-Bed Book",4.8
2016,"StrengthsFinder 2.0",4.0
2016,"Jesus Calling: Enjoying Peace in His Presence (with Scripture References)",4.9
2016,"A Man Called Ove: A Novel",4.6
2016,"When Breath Becomes Air",4.8
2017,"Option B: Facing Adversity, Building Resilience, and Finding Joy",4.5
2017,"Obama: An Intimate Portrait",4.9
2017,"StrengthsFinder 2.0",4.0
2017,"Milk and Vine: Inspirational Quotes From Classic Vines",4.4
2017,"Milk and Honey",4.7
2017,"Make Your Bed: Little Things That Can Change Your Life...And Maybe the World",4.7
2017,"The 5 Love Languages: The Secret to Love that Lasts",4.8
2017,"Leonardo da Vinci",4.5
2017,"Laugh-Out-Loud Jokes for Kids",4.6
2017,"The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change",4.7
2017,"A Man Called Ove: A Novel",4.6
2017,"Killers of the Flower Moon: The Osage Murders and the Birth of the FBI",4.6
2017,"Oh, the Places You'll Go!",4.9
2017,"If Animals Kissed Good Night",4.8
2017,"A Gentleman in Moscow: A Novel",4.7
2017,"How to Win Friends & Influence People",4.7
2017,"Hillbilly Elegy: A Memoir of a Family and Culture in Crisis",4.4
2017,"The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book)",4.7
2017,"The Getaway",4.8
2017,"Harry Potter and the Prisoner of Azkaban: The Illustrated Edition (Harry Potter, Book 3)",4.9
2017,"The Going-To-Bed Book",4.8
2017,"1984 (Signet Classics)",4.7
2017,"The Handmaid's Tale",4.3
2017,"Goodnight Moon",4.8
2017,"Giraffes Can't Dance",4.8
2017,"The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals",4.3
2017,"First 100 Words",4.7
2017,"The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing",4.5
2017,"The Pout-Pout Fish",4.8
2017,"Dog Man: A Tale of Two Kitties: From the Creator of Captain Underpants (Dog Man #3)",4.9
2017,"Dear Zoo: A Lift-the-Flap Book",4.8
2017,"The Shack: Where Tragedy Confronts Eternity",4.6
2017,"The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life",4.6
2017,"The Sun and Her Flowers",4.7
2017,"The Very Hungry Caterpillar",4.9
2017,"The Whole30: The 30-Day Guide to Total Health and Food Freedom",4.6
2017,"The Wonderful Things You Will Be",4.9
2017,"Brown Bear, Brown Bear, What Do You See?",4.9
2017,"Thirteen Reasons Why",4.5
2017,"Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks)",4.6
2017,"Wonder",4.8
